# Step    Temp(K)   Volume(Å³)   Density(g/cm³)  MaxPos(Å)
       0     0.00    47226.159   4.5026       51.733
      50  1291.65    47226.159   4.5026       51.581
     100   329.16    47226.159   4.5026       51.448
     150    53.51    47226.159   4.5026       51.639
     200   543.24    47226.159   4.5026       51.510
     250   521.52    47226.159   4.5026       51.513
     300    71.72    47226.159   4.5026       51.613
     350   308.16    47226.159   4.5026       51.476
     400   501.05    47226.159   4.5026       51.590
     450   202.28    47226.159   4.5026       51.521
     500   156.49    47226.159   4.5026       51.533
     550   335.26    47226.159   4.5026       51.577
     600   478.27    47226.159   4.5026       51.493
     650   315.24    47226.159   4.5026       51.596
     700   142.91    47226.159   4.5026       51.515
     750   198.04    47226.159   4.5026       51.553
     800   392.80    47226.159   4.5026       51.581
     850   432.91    47226.159   4.5026       51.520
     900   414.23    47226.159   4.5026       51.622
     950   247.66    47226.159   4.5026       51.544
    1000   371.38    47226.159   4.5026       51.639
    1050   240.06    47226.159   4.5026       51.592
    1100   287.76    47226.159   4.5026       51.659
    1150   336.98    47226.159   4.5026       51.615
    1200   260.44    47226.159   4.5026       51.646
    1250   318.14    47226.159   4.5026       51.645
    1300   336.38    47226.159   4.5026       51.641
    1350   299.47    47226.159   4.5026       51.678
    1400   328.26    47226.159   4.5026       51.687
    1450   361.79    47226.159   4.5026       51.800
    1500   410.42    47226.159   4.5026       51.826
    1550   438.01    47226.159   4.5026       51.911
    1600   475.95    47226.159   4.5026       52.037
    1650   507.96    47226.159   4.5026       52.178
    1700   525.38    47226.159   4.5026       52.260
    1750   535.92    47226.159   4.5026       52.428
    1800   533.16    47226.159   4.5026       52.517
    1850   526.78    47226.159   4.5026       52.578
    1900   519.04    47226.159   4.5026       52.662
    1950   493.06    47226.159   4.5026       52.861
    2000   471.97    47226.159   4.5026       53.137
    2050   458.75    47226.159   4.5026       53.294
    2100   447.75    47226.159   4.5026       53.360
    2150   431.20    47226.159   4.5026       53.271
    2200   415.51    47226.159   4.5026       53.293
    2250   411.37    47226.159   4.5026       53.392
    2300   408.16    47226.159   4.5026       53.368
    2350   394.64    47226.159   4.5026       53.353
    2400   383.91    47226.159   4.5026       53.472
    2450   385.87    47226.159   4.5026       53.544
